rom1_addr,name,namespace
0xF8BD8C50,GetFirmwareVersion,eventproc
0xF8BD8C58,GetMacAddress,eventproc
0xF8BD8C60,StartOperatingStatus,eventproc
0xF8BD8C68,StartFileStatus,eventproc
0xF8BDF4C0,CUInitialize,eventproc
0xF8BDF4C8,CUTerminate,eventproc
0xF8BDF4D0,CUStart,eventproc
0xF8BDF4D8,CUStop,eventproc
0xF8BDF4E0,CUSetBuffer,eventproc
0xF8BDF4E8,CUSetMode,eventproc
0xF8BDF4F0,CUCreateTask,eventproc
0xF8BDF4F8,CUSetPrint,eventproc
0xF8BDF500,CUPrintSummary,eventproc
0xF8BDF508,CUPrintDetail,eventproc
0xF8BDF510,CUPrintTSMonitor,eventproc
0xF8BDFD70,EnterIsoSpeedAdjustmentMode,eventproc
0xF8BDFD78,ExitIsoSpeedAdjustmentMode,eventproc
0xF8BDFD80,SetVShadingDataType,eventproc
0xF8DC6A74,TftDconOn,eventproc
0xF8DC6A94,PreDispTest,eventproc
0xF8DC6AAC,TFTVariangle,eventproc
0xF8DC6AB4,KDISP_DEBUG,eventproc
0xF8DC6ABC,KKDISP_DEBUG,eventproc
0xF8DC6AC4,KKKDISP_DEBUG,eventproc
0xF8DC6AD4,IsTouching,eventproc
0xF8DC6ADC,StartTouchPanel,eventproc
0xF8DC6AE4,StopTouchPanel,eventproc
0xF8DC6AEC,SetTestMode,eventproc
0xF8DDE684,ChangeThresholdRate,eventproc
0xF8DDE68C,ViewThresholdRate,eventproc
0xF8DDF94C,OpenSession,eventproc
0xF8DDF954,CloseSession,eventproc
0xF8DE0228,Create100White,eventproc
0xF8DE0230,Create50White,eventproc
0xF8DE0238,DeleteWhite,eventproc
0xF8DE0240,CreateColor,eventproc
0xF8DE0248,DeleteColor,eventproc
0xF8DE0250,CreateMixColor,eventproc
0xF8DE0270,TestLcd,eventproc
0xF8DE0298,EnableFilter,eventproc
0xF8DE02A0,DisableFilter,eventproc
0xF8DE02A8,EnableFilterForHDMI,eventproc
0xF8DE02B0,DisableFilterForHDMI,eventproc
0xF8DE02B8,SetDisplayType,eventproc
0xF8DE02C0,SetBL,eventproc
0xF8DE02C8,SetBacklightLevelWithDutyRatio,eventproc
0xF8DE02D0,MuteOn,eventproc
0xF8DE02D8,MuteOff,eventproc
0xF8DE02E0,FlushBmp,eventproc
0xF8DE0300,MuteOnImage,eventproc
0xF8DE0308,MuteOffImage,eventproc
0xF8DE0320,DISP_StartMix,eventproc
0xF8DE0330,ReverseTFT,eventproc
0xF8DE0338,MirrorTFT,eventproc
0xF8DE0340,NormalTFT,eventproc
0xF8DE0358,DispLockStart,eventproc
0xF8DE0360,DispLockStop,eventproc
0xF8DE0464,StartTPLog,eventproc
0xF8DE04A4,TCH_SimpleCheck,eventproc
0xF8DE04AC,TCH_SetDeltaRawValue,eventproc
0xF8DE04C4,TCH_SetOpe2SysTime,eventproc
0xF8DE04CC,TCH_SetMutualGlobaliDacValue,eventproc
0xF8DE04D4,TCH_SetMutualLocaliDacValue,eventproc
0xF8DE04DC,TCH_SetMutualGainValue,eventproc
0xF8DE04E4,TCH_SetMutualRawCountsValue,eventproc
0xF8DE04EC,TCH_SetMutualDifferenceCountsValue,eventproc
0xF8DE04F4,TCH_SetGlobaliDacValueForSelfScan,eventproc
0xF8DE04FC,TCH_SetGainParamForSelfScan,eventproc
0xF8DE0504,TCH_SetLocaliDacValueForSelfScan,eventproc
0xF8DE050C,TCH_SetBaselineValueForSelfScan,eventproc
0xF8DE0514,TCH_SetRawCountsValueForSelfScan,eventproc
0xF8DE051C,TCH_SelfBaseRawAverageForSelfScan,eventproc
0xF8DE052C,TCH_WriteData,eventproc
0xF8DE0534,TCH_ReadData,eventproc
0xF8DE3004,FA_ExtFlashTest,eventproc
0xF8DE300C,FA_FlashTest,eventproc
0xF8DE4538,GuiGraphicsAllocateMemory,eventproc
0xF8DE4550,AdjTouchMove,eventproc
0xF8DE4558,WriteJpegToCard,eventproc
0xF8DE4568,GDOption,eventproc
0xF8DE4570,ShowGraphicsCT,eventproc
0xF8DE4578,EightImages,eventproc
0xF8DE4580,ChgBackGrd,eventproc
0xF8DE4588,SetupGraphcisTSM,eventproc
0xF8DE4590,FinishGraphcisTSM,eventproc
0xF8DEA884,LvCFilSaveJpeg,eventproc
0xF8DEA88C,LvCFilSetJpeg,eventproc
0xF8DEA894,LvCFilSendJpeg,eventproc
