call_name,func_runtime_addr,rom_offset
FA_GetPropertyAddress,0xFF4A7204,0xF8BD732C
FA_SaveProperty,0xFF4A7254,0xF8BD7334
FA_LoadProperty,0xFF4A77B4,0xF8BD733C
FA_SavePropertyList,0xFF4A75A4,0xF8BD7374
FA_GetPropertyDataSize,0xFF4A71A0,0xF8BD7384
FA_SetDetectDefThreshold,0xFF4A8200,0xF8BD73E4
FA_SetHLinePixelNum,0xFF4A8270,0xF8BD73F4
FA_SetMergeDefParameter,0xFF4A829C,0xF8BD73FC
FA_DefectsTestImage,0xFF4A85BC,0xF8BD7454
FA_DetectDefTestImage,0xFF4A8648,0xF8BD745C
FA_DefectsMergeTestImage,0xFF4A8AB4,0xF8BD747C
FA_ProjectionTestImage,0xFF4A8B30,0xF8BD7494
FA_ProjectionTestImageEx,0xFF4A8DD4,0xF8BD749C
FA_ProjectionTestImageV,0xFF4A8F6C,0xF8BD74A4
FA_AdjustWhiteBalance,0xFF4A9C50,0xF8BD7524
FA_SaveWbFix,0xFF4A9CB0,0xF8BD752C
FA_ReverseAdjust,0xFF4A9CE8,0xF8BD7534
FA_SetWbCoef,0xFF4A9F04,0xF8BD754C
FA_GetWbCoef,0xFF4AA050,0xF8BD7554
FA_SetSsWbCoef,0xFF4A9FC0,0xF8BD755C
FA_GetSsWbCoef,0xFF4AA06C,0xF8BD7564
FA_SetColor,0xFF4AA25C,0xF8BD7584
FA_MacSelfCheck,0xFF325CA8,0xF8BD75B4
FA_RecordSound,0xFF316C14,0xF8BD75DC
FA_RecordSoundEnd,0xFF316EFC,0xF8BD75E4
FA_MovieStart,0xFF4ADD2C,0xF8BD75F4
FA_MovieEnd,0xFF4ADDD4,0xF8BD75FC
FA_GetFileData,0xFF4AE014,0xF8BD7604
FA_GetFileSize,0xFF4ADE44,0xF8BD760C
FA_DeleteFile,0xFF4AE110,0xF8BD7614
DisablePowerSave,0xFF14455C,0xF8DC70F8
EnablePowerSave,0xFF1445C8,0xF8DC7100
InitializePTPFrameworkController,0xFF29CE68,0xF8DDF93C
TerminatePTPFrameworkController,0xFF29CF2C,0xF8DDF944
EnableFilter,0xFF32C464,0xF8DE0298
DisableFilter,0xFF32C478,0xF8DE02A0
EnableFilterForHDMI,0xFF32C48C,0xF8DE02A8
DisableFilterForHDMI,0xFF32C4A0,0xF8DE02B0
SetDisplayType,0xFF32C554,0xF8DE02B8
TurnOnDisplay,0xFF13B210,0xF8DE0310
TurnOffDisplay,0xFF13B334,0xF8DE0328
TCH_SetWaitingTime,0xFF3353E8,0xF8DE04BC
TCH_SetOpe2SysTime,0xFF335430,0xF8DE04C4
TCH_SetMutualLocaliDacValue,0xFF335588,0xF8DE04D4
TCH_SetMutualGainValue,0xFF3355C4,0xF8DE04DC
TCH_SetGainParamForSelfScan,0xFF3356A0,0xF8DE04FC
TCH_CheckTouchICVersion,0xFF3359B8,0xF8DE0524
