rom1_offset,rom1_addr,name,runtime_func_addr
0xDE051C,0xF8DE051C,TCH_SelfBaseRawAverageForSelfScan,0xFF3358BC
0xDE052C,0xF8DE052C,TCH_WriteData,0xFF335BF4
0xDE0534,0xF8DE0534,TCH_ReadData,0xFF335C38
0xDE3004,0xF8DE3004,FA_ExtFlashTest,0xFF383A60
0xDE300C,0xF8DE300C,FA_FlashTest,0xFF383A68
0xDE4538,0xF8DE4538,GuiGraphicsAllocateMemory,0xFF3C8B4C
0xDE4550,0xF8DE4550,AdjTouchMove,0xFF3C8474
0xDE4558,0xF8DE4558,WriteJpegToCard,0xFF3C84B4
0xDE4568,0xF8DE4568,GDOption,0xFF3C850C
0xDE4570,0xF8DE4570,ShowGraphicsCT,0xFF3C8538
0xDE4578,0xF8DE4578,EightImages,0xFF3C88B8
0xDE4580,0xF8DE4580,ChgBackGrd,0xFF3C84E0
0xDE4588,0xF8DE4588,SetupGraphcisTSM,0xFF3C8900
0xDE4590,0xF8DE4590,FinishGraphcisTSM,0xFF3C8974
0xDEA884,0xF8DEA884,LvCFilSaveJpeg,0xFF530854
0xDEA88C,0xF8DEA88C,LvCFilSetJpeg,0xFF5308BC
0xDEA894,0xF8DEA894,LvCFilSendJpeg,0xFF5308CC
