Name,Address,Source
DDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD,0xFFB19B6F,EVENTPROC
DDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDDD,0xFFB19537,EVENTPROC
MonOpen,0xFF1CDDB0,EVENTPROC
MonClose,0xFF1CDDB4,EVENTPROC
MonRead,0xFF1CDDB8,EVENTPROC
MonWrite,0xFF1CDE34,EVENTPROC
MonCall,0xFF1CDE54,EVENTPROC
FA_TestMonRead,0xFF1CDE64,EVENTPROC
FA_TestMonCall,0xFF1CE08C,EVENTPROC
FA_TestMonReadAndWrite,0xFF1CDF84,EVENTPROC
PTPSetSessionID,0xFF2A0014,EVENTPROC
LughDisconnect,0xFF2AE53C,EVENTPROC
LughPowerOn,0xFF2AE518,EVENTPROC
SetPrintAngelParam,0xFF2BAD04,EVENTPROC
SetPrintPonyParam,0xFF2BAD14,EVENTPROC
SetSfrDevelopParam,0xFF2BAD24,EVENTPROC
FA_SetProperty,0xFF4A6EC0,EVENTPROC
FA_SetProperty32,0xFF4A6F98,EVENTPROC
FA_ClearBitProperty32,0xFF4A6FBC,EVENTPROC
FA_SeBitProperty32,0xFF4A711C,EVENTPROC
FA_GetPropertyAddress,0xFF4A7204,EVENTPROC
FA_LoadProperty,0xFF4A77B4,EVENTPROC
FA_AddProperty,0xFF4A77F8,EVENTPROC
FA_DeleteProperty,0xFF4A7880,EVENTPROC
FA_SetSavePropertyListNum,0xFF4A7440,EVENTPROC
FA_RegistSavePropertyList,0xFF4A748C,EVENTPROC
FA_WaitSavePropertyList,0xFF4A758C,EVENTPROC
FA_SavePropertyList,0xFF4A75A4,EVENTPROC
FA_GetTuneDataPropertyList,0xFF4A7930,EVENTPROC
FA_GetPropertyDataSize,0xFF4A71A0,EVENTPROC
FA_DebugShdData,0xFF4A7DA4,EVENTPROC
FA_SetCRawBitNum,0xFF4A7F2C,EVENTPROC
FA_SetDarkLevelValue,0xFF4A7F54,EVENTPROC
FA_SetShadingProductionValue,0xFF4A7F54,EVENTPROC
FA_SetProjectionMode,0xFF4A7FF8,EVENTPROC
FA_SetChannelNum,0xFF4A8024,EVENTPROC
FA_SetBayerComponent,0xFF4A804C,EVENTPROC
FA_SetHProjectionRange,0xFF4A8074,EVENTPROC
FA_GetDetectDefCount,0xFF4A824C,EVENTPROC
FA_SetHLinePixelNum,0xFF4A8270,EVENTPROC
FA_SetMergeDefParameter,0xFF4A829C,EVENTPROC
FA_GetMergeDefCount,0xFF4A82E0,EVENTPROC
FAC_SetupDigitalPropertyData,0xFF4AAD08,EVENTPROC
FA_GetDigitalPropertyDataOffset,0xFF4AAD74,EVENTPROC
FA_GetDigitalPropertyRegisterData,0xFF4AADA8,EVENTPROC
FA_SetDigitalPropertyRegisterData,0xFF4AAE48,EVENTPROC
FA_AddDigitalPropertyRegisterData,0xFF4AAF50,EVENTPROC
FA_CheckDigitalPropertyArray,0xFF4AAFA4,EVENTPROC
FA_SubtractTestImage,0xFF4A8304,EVENTPROC
FA_MaxSelectTestImage,0xFF4A84E8,EVENTPROC
FA_DefectsTestImage,0xFF4A85BC,EVENTPROC
FA_GetObInteg,0xFF4A89E0,EVENTPROC
FA_ZeroFillTestImage,0xFF4A9604,EVENTPROC
FA_ZeroFillTestImageXY,0xFF4A96AC,EVENTPROC
FA_HShadingGapCheckOnChannel,0xFF4A9108,EVENTPROC
FA_HShadingGapCheckAllChannel,0xFF4A9170,EVENTPROC
FA_HShadingGapCheckEitherSide,0xFF4A91D4,EVENTPROC
FA_HShadingGapCheckOnChannelForTwoline,0xFF4A9344,EVENTPROC
FA_HShadingGapCheckAllChannelForTwoline,0xFF4A93B0,EVENTPROC
FA_HShadingGapCheckEitherSideForTwoline,0xFF4A9418,EVENTPROC
FA_EnableLinearOffset,0xFF4A9894,EVENTPROC
FA_DisableLinearOffset,0xFF4A98B4,EVENTPROC
FA_EnableFnoCorrect,0xFF4A98D4,EVENTPROC
FA_DisableFnoCorrect,0xFF4A98F4,EVENTPROC
FA_EnableAccumGain,0xFF4A9914,EVENTPROC
FA_DisableAccumGain,0xFF4A991C,EVENTPROC
