file_offset,str_ptr,func_ptr,name
0x00C87288,0xFFD49862,0xFFD4996E,TMU_ICAPCH3
0x00C8728C,0xFFD4996E,0xFFD49A7C,TMU_ICAPCH4
0x00C87290,0xFFD49A7C,0xFFD49B28,TMU_ICAPCH5
0x00C87294,0xFFD49B28,0xFFD49BFC,TMU_ICAPCH6
0x00C87298,0xFFD49BFC,0xFFD493E6,TMU_ICAPCH7
0x00C8729C,0xFFD493E6,0xFFD495B6,HDMAC0_IRQ0
0x00C872A0,0xFFD495B6,0xFFD49722,HDMAC0_IRQ1
0x00C872A4,0xFFD49722,0xFFD49884,HDMAC0_IRQ2
0x00C872A8,0xFFD49884,0xFFD49988,HDMAC0_IRQ3
0x00C872AC,0xFFD49988,0xFFD49A96,HDMAC0_IRQ4
0x00C872B0,0xFFD49A96,0xFFD49B42,HDMAC0_IRQ5
0x00C872B4,0xFFD49B42,0xFFD49444,HDMAC0_IRQ6
0x00C872B8,0xFFD49444,0xFFD493F2,BLTDMAC_0
0x00C872BC,0xFFD493F2,0xFFD495C2,HDMAC1_IRQ0
0x00C872C0,0xFFD495C2,0xFFD4972E,HDMAC1_IRQ1
0x00C872C4,0xFFD4972E,0xFFD493E1,HDMAC1_IRQ2
0x00C872C8,0xFFD493E1,0xFFD495B1,SIO0
0x00C872CC,0xFFD495B1,0xFFD4971D,SIO1
0x00C872D0,0xFFD4971D,0xFFD49877,SIO2
0x00C872D4,0xFFD49877,0xFFD49983,SIO3
0x00C872D8,0xFFD49983,0xFFD4A07E,SIO4
0x00C872DC,0xFFD4A07E,0xFFD4A087,UART0_RX
0x00C872E0,0xFFD4A087,0xFFD4A0B0,UART1_RX
0x00C872E4,0xFFD4A0B0,0xFFD4A0B9,UART0_TX
0x00C872F0,0xFFD4A0C2,0xFFD4942D,A7TDMI_TX
0x00C872F4,0xFFD4942D,0xFFD4A0CC,UART0
0x00C872F8,0xFFD4A0CC,0xFFD49E19,BUZ
0x00C872FC,0xFFD49E19,0xFFD49D5D,ADDA_AD
0x00C87300,0xFFD49D5D,0xFFD49E0F,ADDA_DA
0x00C87304,0xFFD49E0F,0xFFD49D53,ADDA_ASAD
0x00C87308,0xFFD49D53,0xFFD49456,ADDA_ASDA
0x00C8730C,0xFFD49456,0xFFD49616,GPIO_0
0x00C87310,0xFFD49616,0xFFD49782,GPIO_1
0x00C87314,0xFFD49782,0xFFD498DC,GPIO_2
0x00C8731C,0xFFD4A068,0xFFD496BE,I2CDMAC1RX
0x00C87320,0xFFD496BE,0xFFD49FF2,INT_I2C2
0x00C87324,0xFFD49FF2,0xFFD49FE9,CFCONINT
0x00C87328,0xFFD49FE9,0xFFD493AC,SDCONINT
0x00C8732C,0xFFD493AC,0xFFD49575,PMC0
0x00C87330,0xFFD49575,0xFFD496D8,PMC1
0x00C87334,0xFFD496D8,0xFFD4A0D6,PMC2
0x00C87338,0xFFD4A0D6,0xFFD4943B,ipc
0x00C8733C,0xFFD4943B,0xFFD495FB,GPIO_EX0
0x00C87340,0xFFD495FB,0xFFD4976F,GPIO_EX1
0x00C87344,0xFFD4976F,0xFFD498C9,GPIO_EX2
0x00C87348,0xFFD498C9,0xFFD499B5,GPIO_EX3
0x00C8734C,0xFFD499B5,0xFFD49AB5,GPIO_EX4
0x00C87350,0xFFD49AB5,0xFFD49B61,GPIO_EX5
0x00C87354,0xFFD49B61,0xFFD49C35,GPIO_EX6
0x00C87358,0xFFD49C35,0xFFD49477,GPIO_EX7
0x00C8735C,0xFFD49477,0xFFD4963D,EDmac_Wr0
0x00C87360,0xFFD4963D,0xFFD497A9,EDmac_Wr1
0x00C87364,0xFFD497A9,0xFFD49903,EDmac_Wr2
0x00C87368,0xFFD49903,0xFFD499DF,EDmac_Wr3
0x00C8736C,0xFFD499DF,0xFFD49465,EDmac_Wr4
0x00C87370,0xFFD49465,0xFFD49625,EDmac_Rd0
0x00C87374,0xFFD49625,0xFFD49791,EDmac_Rd1
0x00C87378,0xFFD49791,0xFFD4A101,EDmac_Rd2
0x00C8737C,0xFFD4A101,0xFFD4A0F9,Hist_Comp
0x00C87380,0xFFD4A0F9,0xFFD4A138,Af_Comp
0x00C87384,0xFFD4A138,0xFFD4A0E0,Af_OverRunErr
0x00C87388,0xFFD4A0E0,0xFFD4950D,Obinteg
0x00C8738C,0xFFD4950D,0xFFD4A0F2,Jp51
0x00C87390,0xFFD4A0F2,0xFFD4A152,Prepro
0x00C87394,0xFFD4A152,0xFFD4A0E8,WbInt
0x00C87398,0xFFD4A0E8,0xFFD4A0DA,WbBlk
0x00C8739C,0xFFD4A0DA,0xFFD4A128,Pb_Vd
0x00C873A0,0xFFD4A128,0xFFD4962F,Pb_Err
0x00C873A4,0xFFD4962F,0xFFD4979B,Head1
0x00C873A8,0xFFD4979B,0xFFD4A12F,Head2
0x00C873AC,0xFFD4A12F,0xFFD49ADB,Head_Err
0x00C873B0,0xFFD49ADB,0xFFD498EB,EDmac_Wr5
0x00C873B4,0xFFD498EB,0xFFD4A0EE,EDmac_Rd3
0x00C873B8,0xFFD4A0EE,0xFFD49DC4,Rem
0x00C873BC,0xFFD49DC4,0xFFD49E39,HARB
0x00C873C0,0xFFD49E39,0xFFD49FD4,LARBNMI_RD
0x00C873C4,0xFFD49FD4,0xFFD4956B,LARBNMI_WR
0x00C873C8,0xFFD4956B,0xFFD49604,TMU_PULC1
0x00C873CC,0xFFD49604,0xFFD49778,BLTDMAC_1
0x00C873D0,0xFFD49778,0xFFD498D2,BLTDMAC_2
0x00C873D4,0xFFD498D2,0xFFD499C8,BLTDMAC_3
0x00C873D8,0xFFD499C8,0xFFD49C16,GPIO_4
0x00C873DC,0xFFD49C16,0xFFD49849,HDMAC0_IRQ7
0x00C873E8,0xFFD4A073,0xFFD49F51,I2CDMAC2RX
0x00C873EC,0xFFD49F51,0xFFD49F0F,TMU_OCH4SP
0x00C873F0,0xFFD49F0F,0xFFD49F5C,TMU_OCH4EP
0x00C873F4,0xFFD49F5C,0xFFD49F1A,TMU_OCH5SP
0x00C873F8,0xFFD49F1A,0xFFD49421,TMU_OCH5EP
0x00C873FC,0xFFD49421,0xFFD495E7,ADDA_ADINT0
0x00C87400,0xFFD495E7,0xFFD49E44,ADDA_ADINT1
